Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,387,1,24/10/2024,OKC,@,DEN,"W, 102-87",*,36:12:00,11,24,0.458,2,6,0.333,9,18,0.5,0.5,4,5,0.8,2,5,7,8,2,3,2,2,28,25,8
2,388,2,26/10/2024,OKC,@,CHI,"W, 114-95",*,29:30:00,9,21,0.429,2,9,0.222,7,12,0.583,0.476,3,3,1,2,6,8,2,4,0,1,1,23,19.1,23
3,389,3,27/10/2024,OKC,,ATL,"W, 128-104",*,36:01:00,11,24,0.458,3,8,0.375,8,16,0.5,0.521,10,11,0.909,2,9,11,9,3,3,1,3,35,35.5,24
4,390,4,30/10/2024,OKC,,SAS,"W, 105-93",*,27:35:00,7,20,0.35,2,10,0.2,5,10,0.5,0.4,2,2,1,0,4,4,5,1,0,1,1,18,11.1,3
5,391,5,1/11/2024,OKC,@,POR,"W, 137-114",*,28:23:00,12,18,0.667,1,6,0.167,11,12,0.917,0.694,5,6,0.833,1,6,7,6,1,0,3,1,30,26.1,25
6,392,6,2/11/2024,OKC,@,LAC,"W, 105-92",*,31:20:00,7,14,0.5,2,4,0.5,5,10,0.5,0.571,9,9,1,0,3,3,9,0,1,3,2,25,22.1,8
7,393,7,4/11/2024,OKC,,ORL,"W, 102-86",*,35:04:00,8,16,0.5,1,3,0.333,7,13,0.538,0.531,4,4,1,0,6,6,9,1,0,4,4,21,16.5,18
8,394,8,6/11/2024,OKC,@,DEN,"L, 122-124",*,38:49:00,10,19,0.526,0,3,0,10,16,0.625,0.526,8,10,0.8,0,2,2,6,1,1,8,1,28,16,3
9,395,9,8/11/2024,OKC,,HOU,"W, 126-107",*,29:02:00,11,16,0.688,1,2,0.5,10,14,0.714,0.719,6,7,0.857,1,4,5,4,1,1,3,2,29,24.4,5
10,396,10,10/11/2024,OKC,,GSW,"L, 116-127",*,33:44:00,6,17,0.353,0,2,0,6,15,0.4,0.353,12,14,0.857,1,4,5,4,0,1,4,0,24,15.1,-11
11,397,11,11/11/2024,OKC,,LAC,"W, 134-128",*,39:21:00,13,21,0.619,4,8,0.5,9,13,0.692,0.714,15,16,0.938,0,3,3,9,5,2,1,3,45,46.5,8
12,398,12,13/11/2024,OKC,,NOP,"W, 106-88",*,32:37:00,12,25,0.48,3,7,0.429,9,18,0.5,0.54,2,3,0.667,0,5,5,5,2,2,2,0,29,22.3,18
13,399,13,15/11/2024,OKC,,PHO,"W, 99-83",*,32:56:00,11,25,0.44,2,7,0.286,9,18,0.5,0.48,4,4,1,3,3,6,4,0,1,2,2,28,18.6,21
14,400,14,17/11/2024,OKC,,DAL,"L, 119-121",*,38:28:00,13,19,0.684,1,1,1,12,18,0.667,0.711,9,11,0.818,0,2,2,8,2,2,1,1,36,35.3,8
15,401,15,19/11/2024,OKC,@,SAS,"L, 104-110",*,37:16:00,11,20,0.55,5,8,0.625,6,12,0.5,0.675,5,6,0.833,0,3,3,8,3,0,4,3,32,26.3,2
16,402,16,20/11/2024,OKC,,POR,"W, 109-99",*,38:42:00,7,19,0.368,0,2,0,7,17,0.412,0.368,14,14,1,2,3,5,4,3,1,2,2,28,23.5,7
17,403,17,25/11/2024,OKC,@,SAC,"W, 130-109",*,34:38:00,13,20,0.65,4,7,0.571,9,13,0.692,0.75,7,11,0.636,0,4,4,11,0,0,6,2,37,28.7,15
18,404,18,27/11/2024,OKC,@,GSW,"W, 105-101",*,38:36:00,13,28,0.464,3,12,0.25,10,16,0.625,0.518,6,10,0.6,0,9,9,5,1,2,3,3,35,23.4,5
19,405,19,29/11/2024,OKC,@,LAL,"W, 101-93",*,36:59:00,13,28,0.464,3,10,0.3,10,18,0.556,0.518,7,8,0.875,3,3,6,9,2,1,3,3,36,29,13
20,406,20,1/12/2024,OKC,@,HOU,"L, 116-119",*,36:07:00,10,19,0.526,3,7,0.429,7,12,0.583,0.605,9,11,0.818,2,6,8,5,2,0,2,2,32,27.8,6
21,407,21,3/12/2024,OKC,,UTA,"W, 133-106",*,30:07:00,11,19,0.579,2,6,0.333,9,13,0.692,0.632,2,2,1,1,5,6,7,3,0,0,4,26,25.6,20
22,408,22,5/12/2024,OKC,@,TOR,"W, 129-92",*,29:38:00,11,22,0.5,1,10,0.1,10,12,0.833,0.523,7,8,0.875,0,4,4,5,2,2,2,2,30,23.9,28
23,409,23,7/12/2024,OKC,@,NOP,"W, 119-109",*,34:28:00,10,18,0.556,1,3,0.333,9,15,0.6,0.583,10,12,0.833,0,2,2,4,0,0,4,5,31,19,-2
24,410,24,10/12/2024,OKC,,DAL,"W, 118-104",*,37:51:00,15,23,0.652,5,9,0.556,10,14,0.714,0.761,4,4,1,0,8,8,5,3,1,2,3,39,35.3,22
25,411,25,14/12/2024,OKC,,HOU,"W, 111-96",*,37:37:00,8,21,0.381,2,6,0.333,6,15,0.4,0.429,14,15,0.933,0,8,8,6,5,1,1,3,32,30.2,16
26,412,26,19/12/2024,OKC,@,ORL,"W, 105-99",*,36:25:00,15,26,0.577,1,5,0.2,14,21,0.667,0.596,4,4,1,0,4,4,6,4,2,4,1,35,29.2,-6
27,413,27,20/12/2024,OKC,@,MIA,"W, 104-97",*,37:34:00,10,25,0.4,3,9,0.333,7,16,0.438,0.46,2,2,1,2,5,7,4,2,0,3,1,25,15.8,14
28,414,28,23/12/2024,OKC,,WAS,"W, 123-105",*,35:23:00,14,25,0.56,3,6,0.5,11,19,0.579,0.62,10,10,1,3,6,9,3,3,3,3,3,41,36,25
29,415,29,26/12/2024,OKC,@,IND,"W, 120-114",*,37:59:00,15,22,0.682,4,5,0.8,11,17,0.647,0.773,11,11,1,0,7,7,8,1,2,1,2,45,43.9,10
30,416,30,28/12/2024,OKC,@,CHO,"W, 106-94",*,33:00:00,8,15,0.533,1,6,0.167,7,9,0.778,0.567,5,6,0.833,1,3,4,6,2,1,6,4,22,15.2,12
31,417,31,29/12/2024,OKC,,MEM,"W, 130-106",*,28:04:00,14,19,0.737,1,5,0.2,13,14,0.929,0.763,6,6,1,0,6,6,7,1,4,1,1,35,36.4,27
32,418,32,31/12/2024,OKC,,MIN,"W, 113-105",*,34:20:00,15,23,0.652,3,5,0.6,12,18,0.667,0.717,7,9,0.778,1,2,3,2,4,0,3,1,40,32.4,11
33,419,33,2/01/2025,OKC,,LAC,"W, 116-98",*,30:07:00,9,17,0.529,2,5,0.4,7,12,0.583,0.588,9,9,1,0,3,3,8,2,0,1,1,29,27.8,19
34,420,34,3/01/2025,OKC,,NYK,"W, 117-107",*,36:41:00,12,26,0.462,2,3,0.667,10,23,0.435,0.5,7,7,1,1,3,4,7,1,1,2,1,33,25.4,10
