,player_name,player_id,fta,ftm,ft_pct
0,LeBron James,2544,38,23,0.6052631578947368
1,Darko Milicic,2545,3,1,0.3333333333333333
2,Carmelo Anthony,2546,60,43,0.7166666666666667
3,Chris Bosh,2547,27,23,0.8518518518518519
4,Dwyane Wade,2548,36,24,0.6666666666666666
5,Chris Kaman,2549,17,12,0.7058823529411765
6,Kirk Hinrich,2550,22,15,0.6818181818181818
7,T.J. Ford,2551,17,15,0.8823529411764706
8,Michael Sweetney,2552,6,5,0.8333333333333334
9,Jarvis Hayes,2553,11,9,0.8181818181818182
10,Mickael Pietrus,2554,17,10,0.5882352941176471
11,Marcus Banks,2556,19,14,0.7368421052631579
12,Luke Ridnour,2557,10,8,0.8
13,Reece Gaines,2558,2,1,0.5
14,Troy Bell,2559,3,3,1.0
15,Zarko Cabarkapa,2560,14,9,0.6428571428571429
16,David West,2561,16,11,0.6875
17,Sasha Pavlovic,2562,6,6,1.0
18,Dahntay Jones,2563,10,4,0.4
19,Boris Diaw,2564,8,4,0.5
20,Zoran Planinic,2565,12,8,0.6666666666666666
21,Travis Outlaw,2566,4,2,0.5
22,Brian Cook,2567,17,14,0.8235294117647058
24,Kendrick Perkins,2570,9,6,0.6666666666666666
25,Leandro Barbosa,2571,4,2,0.5
26,Josh Howard,2572,7,3,0.42857142857142855
27,Maciej Lampe,2573,11,8,0.7272727272727273
28,Jason Kapono,2574,5,5,1.0
29,Luke Walton,2575,5,4,0.8
31,Travis Hansen,2580,2,2,1.0
32,Steve Blake,2581,2,2,1.0
34,Willie Green,2584,10,7,0.7
35,Zaza Pachulia,2585,4,3,0.75
36,Keith Bogans,2586,18,6,0.3333333333333333
37,Mo Williams,2590,10,6,0.6
38,James Jones,2592,2,2,1.0
39,Kyle Korver,2594,2,2,1.0
40,Brandon Hunter,2599,3,1,0.3333333333333333
